Supplier Name,Product Category,Country,Contact Details,Product Line
"Ningbo Haitian Huayuan Machinery Co., Ltd.",Industrial Machinery,China,"No. 235, Jiangjun Road, Beilun District, Ningbo, Zhejiang, China. Tel: +86-574-86177242, Email: haitian@mail.haitian.com","Plastic Injection Molding Machines (Mars Series, Jupiter Series, Zhafir Electric Series)."
"Jinan Bodor CNC Machine Co., Ltd.",Industrial Machinery,China,"No. 12999, Jingshi East Road, Jinan, Shandong, China. Tel: +86-531-88690191, Email: sales@bodor.com","High-Power Fiber Laser Cutting Machines, Laser Tube Cutters, Sheet Metal Laser Cutters."
"Shenyang Machine Tool Co., Ltd.",Industrial Machinery,China,"No. 1, Kaifa Road, Shenyang Economic & Technological Development Zone, Shenyang, Liaoning, China. Tel: +86-24-25190888, Email: export@symg.com.cn","CNC Lathes, CNC Vertical Machining Centers, Radial Drilling Machines, Gantry Boring Mills."
Vina Star Machinery Joint Stock Company,Industrial Machinery,Vietnam,"Lot B2, Road No. 2, Tan Dong Hiep B Industrial Park, Di An City, Binh Duong Province, Vietnam. Tel: +84-274-3729555, Email: info@vinastar.com.vn","CNC Milling Machines, Lathe Machine Assemblies, Custom Machined Components and Metal Stamping Equipment."
Formosa Ha Tinh Steel Corporation,Raw Materials,Vietnam,"Son Duong Port, Vung Ang Economic Zone, Ky Anh District, Ha Tinh Province, Vietnam. Tel: +84-239-3722123, Email: sales@fhs.com.vn","Hot Rolled Steel Coils (HRC), Wire Rods, Steel Slabs."
Hoa Phat Dung Quat Steel Joint Stock Company,Raw Materials,Vietnam,"Dung Quat Economic Zone, Binh Dong Commune, Binh Son District, Quang Ngai Province, Vietnam. Tel: +84-24-62848666, Email: steel@hoaphat.com.vn","Cold Rolled Coils (CRC), Hot Rolled Coils (HRC), Galvanized Steel Sheets, Structural Steel."
"Jiangsu Shagang Group Co., Ltd.",Raw Materials,China,"Yongwen Road, Jinfeng Town, Zhangjiagang City, Jiangsu Province, China. Tel: +86-512-58568800, Email: shagangsteel@shagang.com.cn","High-Grade Steel Coils, Rebars, Wire Rods, High-Tensile Steel Plates."
"Shandong Dongyue Chemical Co., Ltd.",Raw Materials,China,"Dongyue Fluorine Silicone Material Industry Park, Huantai County, Zibo City, Shandong Province, China. Tel: +86-533-8510072, Email: dychem@dongyuechem.com","PVC Resin, PTFE (Teflon), Fluorochemical Intermediates, Chlorinated Hydrocarbons."
Thanh Cong Textile Garment Investment Trading Joint Stock Company,Raw Materials,Vietnam,"36 Tay Thanh Street, Tay Thanh Ward, Tan Phu District, Ho Chi Minh City, Vietnam. Tel: +84-28-38153962, Email: info@thanhcong.com.vn","Organic Cotton Yarn, Combed Cotton Yarn, Blended Yarn, Industrial Fabrics."
"Zhejiang Hengyi Petrochemical Co., Ltd.",Textiles & Apparel,China,"No. 238, Shixin Road, Xiaoshan District, Hangzhou, Zhejiang, China. Tel: +86-571-82797888, Email: sales@hengyi.com","Polyester Draw Textured Yarn (DTY), Partially Oriented Yarn (POY), Fully Drawn Yarn (FDY), and PET chips."
"Tongkun Group Co., Ltd.",Textiles & Apparel,China,"No. 5, Phoenix Road, Tongxiang, Zhejiang, China. Tel: +86-573-88188888, Email: export@tongkun.com","Polyester filament yarns, composite yarns, and recycled polyester yarns."
"Shaoxing Keqiao Qiansefeng Textile Co., Ltd.",Textiles & Apparel,China,"Room 1205, Times Square, Keqiao District, Shaoxing, Zhejiang, China. Tel: +86-575-84119999, Email: info@qiansefeng.com","High-strength canvas, industrial filter fabrics, and PVC-coated fabrics."
"Guangdong Esquel Textile Co., Ltd.",Textiles & Apparel,China,"Gaoming District, Foshan, Guangdong, China. Tel: +86-757-88228888, Email: info@esquel.com","Premium readymade garments (woven shirts, knitwear), and dyed cotton yarns."
Century Synthetic Fiber Corporation,Textiles & Apparel,Vietnam,"Road 19, Tan Tao Industrial Park, Binh Tan District, Ho Chi Minh City, Vietnam. Tel: +84-28-37507888, Email: csf@century.com.vn","Recycled polyester yarn (REPREVE brand), polyester DTY, FDY, and nylon filament yarns."
Phong Phu Joint Stock Corporation,Textiles & Apparel,Vietnam,"48 Tang Nhon Phu Street, Tang Nhon Phu B Ward, Thu Duc City, Ho Chi Minh City, Vietnam. Tel: +84-28-38966029, Email: info@phongphu.com.vn","Readymade apparel, denim garments, towels, and woven fabrics."
Song Hong Garment Joint Stock Company,Textiles & Apparel,Vietnam,"105 Nguyen Duc Thuan Street, Nam Dinh City, Nam Dinh Province, Vietnam. Tel: +84-228-3649365, Email: info@songhong.vn","Readymade garments, activewear, sportswear jackets, and bedding materials."
Formosa Industries Corporation,Textiles & Apparel,Vietnam,"Nhon Trach 3 Industrial Park, Nhon Trach District, Dong Nai Province, Vietnam. Tel: +84-251-3560300, Email: sales@fic.com.vn","Polyester spinning chips, synthetic filament yarns, and industrial fabrics (nylon tire cord fabric)."
